,Open_time,Open,High,Low,Close,Volume,Close_time,Quote asset volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Ignore
178,1547988960000,0.008777,0.008795,0.008775,0.008784,165.82,1547989019999,1.45712678,33,115.02,1.01072151,0
179,1547989020000,0.008782,0.008787,0.008769,0.008781,68.09,1547989079999,0.59743567,27,27.16,0.23835873,0
180,1547989080000,0.008775,0.008789,0.008775,0.008785,37.11,1547989139999,0.32596515,15,19.24,0.16905221,0
181,1547989140000,0.008785,0.008785,0.008768,0.008772,53.09,1547989199999,0.46619214,31,46.5,0.40837089,0
182,1547989200000,0.008783,0.008791,0.008768,0.00877,60.92,1547989259999,0.53460554,15,20.8,0.18255697,0
183,1547989260000,0.008775,0.008776,0.00875,0.008756,125.85,1547989319999,1.10358717,30,74.22,0.65096829,0
184,1547989320000,0.008763,0.00877,0.008759,0.008769,79.87,1547989379999,0.70011778,28,43.84,0.38435994,0
185,1547989380000,0.008771,0.008776,0.008631,0.008721,3189.31,1547989439999,27.76642046,399,805.42,7.03439926,0
186,1547989440000,0.008726,0.008737,0.008724,0.008733,1191.66,1547989499999,10.39953337,70,1047.02,9.13718707,0
187,1547989500000,0.008732,0.008732,0.008714,0.008722,246.83,1547989559999,2.15334939,30,53.58,0.46756842,0
188,1547989560000,0.008724,0.008735,0.00872,0.00872,246.14,1547989619999,2.1473507,68,232.05,2.02440288,0
189,1547989620000,0.008721,0.008725,0.008719,0.008721,67.04,1547989679999,0.58470706,21,15.89,0.13862256,0
190,1547989680000,0.008717,0.008729,0.008714,0.008714,180.57,1547989739999,1.57486932,29,142.29,1.24104425,0
191,1547989740000,0.00872,0.008733,0.00872,0.008729,115.29,1547989799999,1.00616385,15,96.24,0.83990819,0
192,1547989800000,0.008733,0.008749,0.008732,0.008747,245.21,1547989859999,2.14305035,37,225.9,1.97439228,0
193,1547989860000,0.008747,0.008757,0.008746,0.008753,196.38,1547989919999,1.71842354,31,173.08,1.51457799,0
